Geschlecht;Groesse;Alter;Gewicht;Betaetigung;Einordnung
w;155;99;46;keinSport;Untergewicht
m;172;54;80;Kraftsport;Normalgewicht
w;159;33;97;Ausdauersport;Uebergewicht
m;175;26;62;keinSport;Untergewicht
w;171;50;114;Ausdauersport;Uebergewicht
w;161;52;81;Kraftsport;Normalgewicht
m;167;22;77;keinSport;Uebergewicht
w;169;97;81;Ausdauersport;Normalgewicht
m;180;62;160;keinSport;Uebergewicht
m;178;41;92;Ausdauersport;Normalgewicht
w;176;62;91;keinSport;Uebergewicht
m;169;44;56;Kraftsport;Normalgewicht
w;156;56;64;Ausdauersport;Normalgewicht
w;171;18;102;keinSport;Uebergewicht
m;160;58;73;Kraftsport;Normalgewicht
w;166;76;73;keinSport;Normalgewicht
m;172;75;88;keinSport;Normalgewicht
m;166;69;68;keinSport;Untergewicht
m;178;56;77;keinSport;Normalgewicht
m;169;63;81;keinSport;Normalgewicht
w;162;22;82;keinSport;Uebergewicht
w;161;94;88;keinSport;Uebergewicht
w;163;42;45;Kraftsport;Untergewicht
w;160;49;85;keinSport;Uebergewicht
w;166;61;93;Kraftsport;Uebergewicht
w;177;62;74;Kraftsport;Normalgewicht
m;220;38;102;keinSport;Untergewicht
m;180;54;88;Ausdauersport;Normalgewicht
w;198;46;71;Kraftsport;Untergewicht
w;180;42;90;Ausdauersport;Normalgewicht
m;172;27;110;Ausdauersport;Uebergewicht
m;175;47;80;keinSport;Normalgewicht
m;203;41;103;Ausdauersport;Normalgewicht
w;165;23;61;keinSport;Normalgewicht
m;170;19;87;Ausdauersport;Uebergewicht
w;173;35;72;Kraftsport;Normalgewicht
m;171;24;97;keinSport;Uebergewicht
m;172;53;102;keinSport;Uebergewicht
m;172;59;109;Kraftsport;Uebergewicht
w;166;61;91;keinSport;Uebergewicht
w;156;46;99;Ausdauersport;Uebergewicht
m;178;33;92;Kraftsport;Normalgewicht
m;181;57;120;Ausdauersport;Uebergewicht
w;163;66;68;Ausdauersport;Normalgewicht
m;177;40;107;keinSport;Uebergewicht
m;167;52;94;keinSport;Uebergewicht
w;165;45;158;Ausdauersport;Uebergewicht
w;172;76;115;Kraftsport;Uebergewicht
m;179;45;66;Ausdauersport;Normalgewicht
w;160;82;84;keinSport;Uebergewicht
w;171;66;105;keinSport;Uebergewicht
w;160;81;146;Kraftsport;Uebergewicht
m;169;75;117;keinSport;Uebergewicht
m;181;64;120;keinSport;Uebergewicht
w;157;51;85;keinSport;Uebergewicht
w;169;47;104;keinSport;Uebergewicht
w;163;18;125;keinSport;Uebergewicht
w;165;46;120;Kraftsport;Uebergewicht
m;173;44;69;keinSport;Normalgewicht
m;167;60;111;keinSport;Uebergewicht
m;177;67;89;keinSport;Normalgewicht
m;185;84;70;keinSport;Untergewicht
m;177;39;64;keinSport;Untergewicht
m;177;25;54;keinSport;Untergewicht
m;177;66;92;keinSport;Normalgewicht
m;180;68;106;Kraftsport;Normalgewicht
m;166;58;115;keinSport;Uebergewicht
w;162;72;96;keinSport;Uebergewicht
m;176;24;106;keinSport;Uebergewicht
m;182;75;110;keinSport;Uebergewicht
w;171;62;93;keinSport;Uebergewicht
w;161;21;90;keinSport;Uebergewicht
m;175;49;85;Ausdauersport;Normalgewicht
w;155;37;87;Ausdauersport;Uebergewicht
m;178;74;69;keinSport;Untergewicht
m;177;26;70;keinSport;Normalgewicht
m;180;55;103;keinSport;Uebergewicht
w;173;75;64;keinSport;Untergewicht
m;170;34;86;keinSport;Uebergewicht
m;174;47;100;Kraftsport;Normalgewicht
m;174;38;114;keinSport;Uebergewicht
w;154;41;60;Ausdauersport;Normalgewicht
m;185;36;95;Ausdauersport;Uebergewicht
m;179;50;109;keinSport;Uebergewicht
w;172;63;69;keinSport;Normalgewicht
m;165;57;74;Ausdauersport;Normalgewicht
w;161;43;75;Ausdauersport;Normalgewicht
w;158;63;153;keinSport;Uebergewicht
m;175;60;104;keinSport;Uebergewicht
m;178;42;113;Ausdauersport;Uebergewicht
m;191;52;76;Ausdauersport;Normalgewicht
w;153;49;61;keinSport;Normalgewicht
w;164;79;106;Kraftsport;Uebergewicht
m;175;30;94;Kraftsport;Normalgewicht
w;167;29;83;keinSport;Uebergewicht
w;162;55;85;Kraftsport;Uebergewicht
w;173;54;64;keinSport;Untergewicht
m;182;35;99;keinSport;Uebergewicht
m;189;60;139;Kraftsport;Uebergewicht
w;174;22;87;Ausdauersport;Normalgewicht
m;179;43;69;keinSport;Untergewicht
m;170;57;85;Ausdauersport;Normalgewicht
w;158;71;73;Kraftsport;Normalgewicht
m;166;54;76;keinSport;Normalgewicht
w;161;52;75;Ausdauersport;Uebergewicht
m;175;71;119;Kraftsport;Uebergewicht
w;166;60;132;Ausdauersport;Uebergewicht
m;182;26;100;Kraftsport;Normalgewicht
w;158;40;54;keinSport;Normalgewicht
m;180;64;87;Kraftsport;Normalgewicht
w;170;45;111;keinSport;Uebergewicht
m;176;21;93;Ausdauersport;Uebergewicht
w;174;51;91;keinSport;Uebergewicht
w;152;41;83;keinSport;Uebergewicht
w;164;44;82;Kraftsport;Normalgewicht
m;183;31;70;keinSport;Untergewicht
m;166;33;74;keinSport;Uebergewicht
w;163;57;96;keinSport;Uebergewicht
m;177;58;114;keinSport;Uebergewicht
m;165;55;78;keinSport;Normalgewicht
w;164;41;93;keinSport;Uebergewicht
m;169;58;88;keinSport;Uebergewicht
w;166;73;108;Kraftsport;Uebergewicht
w;168;22;87;keinSport;Uebergewicht
m;158;34;59;keinSport;Normalgewicht
m;180;62;71;keinSport;Untergewicht
w;166;56;60;keinSport;Untergewicht
m;185;44;100;Ausdauersport;Normalgewicht
m;176;75;89;Kraftsport;Normalgewicht
w;169;46;159;keinSport;Uebergewicht
m;184;82;109;Kraftsport;Normalgewicht
w;170;40;83;keinSport;Uebergewicht
w;165;49;86;keinSport;Uebergewicht
m;164;27;75;keinSport;Uebergewicht
w;164;62;136;keinSport;Uebergewicht
m;167;28;81;keinSport;Uebergewicht
m;168;41;84;keinSport;Uebergewicht
w;163;72;75;keinSport;Normalgewicht
w;154;55;126;Kraftsport;Uebergewicht
m;190;40;104;keinSport;Uebergewicht
w;161;49;66;keinSport;Normalgewicht
m;169;42;97;keinSport;Uebergewicht
w;169;48;99;Kraftsport;Uebergewicht
m;158;40;77;keinSport;Uebergewicht
m;177;22;83;Kraftsport;Normalgewicht
w;154;56;71;keinSport;Uebergewicht
w;156;46;67;keinSport;Uebergewicht
w;171;66;60;keinSport;Untergewicht
w;155;78;103;Ausdauersport;Uebergewicht
w;165;33;85;keinSport;Uebergewicht
m;171;24;83;keinSport;Uebergewicht
w;160;48;65;keinSport;Normalgewicht
w;190;57;117;keinSport;Uebergewicht
w;161;23;66;keinSport;Uebergewicht
w;160;38;88;Kraftsport;Uebergewicht
w;165;30;103;keinSport;Uebergewicht
w;173;58;72;Ausdauersport;Normalgewicht
m;185;72;79;keinSport;Untergewicht
m;173;35;107;Kraftsport;Uebergewicht
m;165;62;163;Ausdauersport;Uebergewicht
m;176;44;97;Ausdauersport;Uebergewicht
m;172;61;79;Ausdauersport;Normalgewicht
m;166;37;64;keinSport;Normalgewicht
m;215;48;131;keinSport;Uebergewicht
m;183;54;88;keinSport;Normalgewicht
w;155;58;118;keinSport;Uebergewicht
w;158;47;97;keinSport;Uebergewicht
m;178;37;100;keinSport;Uebergewicht
w;178;43;83;keinSport;Uebergewicht
w;168;54;48;Ausdauersport;Normalgewicht
m;179;69;118;keinSport;Uebergewicht
m;167;43;143;Ausdauersport;Uebergewicht
w;162;73;108;keinSport;Uebergewicht
m;179;27;159;Kraftsport;Uebergewicht
m;181;46;116;keinSport;Uebergewicht
m;179;58;90;Ausdauersport;Normalgewicht
m;172;49;99;keinSport;Uebergewicht
m;159;19;57;keinSport;Normalgewicht
m;166;39;97;keinSport;Uebergewicht
w;171;32;79;Kraftsport;Normalgewicht
m;177;45;167;keinSport;Uebergewicht
w;164;75;83;Ausdauersport;Uebergewicht
w;168;69;96;Kraftsport;Uebergewicht
m;183;73;104;keinSport;Uebergewicht
w;166;39;80;Ausdauersport;Normalgewicht
w;163;46;57;keinSport;Untergewicht
w;166;52;76;Ausdauersport;Normalgewicht
m;173;52;118;Kraftsport;Uebergewicht
w;153;55;48;Ausdauersport;Normalgewicht
w;151;48;91;keinSport;Uebergewicht
m;182;24;55;keinSport;Untergewicht
m;179;26;94;keinSport;Uebergewicht
w;160;44;88;Kraftsport;Uebergewicht
m;185;19;77;keinSport;Normalgewicht
w;185;43;140;keinSport;Uebergewicht
m;187;57;166;keinSport;Uebergewicht
w;159;32;53;Ausdauersport;Normalgewicht
m;180;58;73;Kraftsport;Untergewicht
w;168;21;62;keinSport;Normalgewicht
w;161;28;67;keinSport;Uebergewicht
w;164;68;101;Kraftsport;Uebergewicht
m;185;27;86;keinSport;Normalgewicht
m;175;61;78;Kraftsport;Normalgewicht
m;170;26;94;keinSport;Uebergewicht
w;170;29;95;keinSport;Uebergewicht
w;162;67;97;keinSport;Uebergewicht
w;155;51;61;Ausdauersport;Normalgewicht
w;155;52;50;Kraftsport;Normalgewicht
w;164;45;105;Ausdauersport;Uebergewicht
w;155;63;55;keinSport;Untergewicht
w;163;56;74;keinSport;Normalgewicht
w;158;25;75;keinSport;Uebergewicht
w;162;19;70;Ausdauersport;Normalgewicht
w;167;60;98;keinSport;Uebergewicht
w;168;43;124;keinSport;Uebergewicht
m;176;41;109;keinSport;Uebergewicht
w;179;31;100;keinSport;Uebergewicht
m;181;22;118;Ausdauersport;Uebergewicht
w;167;54;79;Ausdauersport;Normalgewicht
m;187;33;114;Kraftsport;Normalgewicht
m;182;30;153;Kraftsport;Uebergewicht
m;182;19;67;keinSport;Normalgewicht
m;192;91;123;Kraftsport;Uebergewicht
m;180;48;91;Ausdauersport;Normalgewicht
w;167;76;103;keinSport;Uebergewicht
w;170;44;97;Kraftsport;Uebergewicht
m;196;56;134;Kraftsport;Uebergewicht
m;180;23;83;Ausdauersport;Normalgewicht
m;187;58;88;Kraftsport;Normalgewicht
w;166;45;89;keinSport;Uebergewicht
w;168;20;87;keinSport;Uebergewicht
m;172;57;109;keinSport;Uebergewicht
w;169;31;83;keinSport;Uebergewicht
m;174;62;115;keinSport;Uebergewicht
m;175;33;103;Ausdauersport;Uebergewicht
m;176;43;89;Kraftsport;Normalgewicht
m;180;37;113;keinSport;Uebergewicht
w;163;20;74;keinSport;Uebergewicht
m;187;66;142;keinSport;Uebergewicht
w;159;37;55;Ausdauersport;Normalgewicht
m;180;45;113;keinSport;Uebergewicht
m;171;61;80;Ausdauersport;Normalgewicht
m;170;30;84;keinSport;Uebergewicht
w;162;19;134;Ausdauersport;Uebergewicht
m;156;73;90;keinSport;Uebergewicht
w;163;68;85;keinSport;Uebergewicht
m;179;69;87;keinSport;Normalgewicht
w;163;37;67;keinSport;Normalgewicht
m;196;34;77;Ausdauersport;Normalgewicht
w;167;41;68;Kraftsport;Normalgewicht
m;172;48;101;Kraftsport;Uebergewicht
w;159;23;58;keinSport;Normalgewicht
w;178;45;102;Ausdauersport;Uebergewicht
w;172;24;57;Ausdauersport;Normalgewicht
w;163;59;57;keinSport;Untergewicht
w;168;47;82;keinSport;Uebergewicht
m;176;49;69;keinSport;Untergewicht
m;177;52;72;Ausdauersport;Untergewicht
w;170;60;78;keinSport;Normalgewicht
w;169;37;81;keinSport;Uebergewicht
m;173;64;96;keinSport;Uebergewicht
m;173;41;96;keinSport;Uebergewicht
w;166;56;73;Ausdauersport;Normalgewicht
w;158;65;98;keinSport;Uebergewicht
m;164;25;81;keinSport;Uebergewicht
w;171;19;88;Kraftsport;Uebergewicht
m;177;41;85;Kraftsport;Normalgewicht
m;174;41;134;keinSport;Uebergewicht
w;158;48;71;keinSport;Uebergewicht
m;178;70;162;keinSport;Uebergewicht
m;180;50;73;keinSport;Untergewicht
m;174;19;77;Ausdauersport;Normalgewicht
w;165;79;110;keinSport;Uebergewicht
m;166;25;89;Kraftsport;Normalgewicht
m;170;57;93;keinSport;Uebergewicht
w;170;37;54;Ausdauersport;Normalgewicht
m;176;44;53;keinSport;Untergewicht
m;171;47;155;keinSport;Uebergewicht
m;188;31;104;Ausdauersport;Uebergewicht
m;191;55;74;keinSport;Untergewicht
w;162;31;96;keinSport;Uebergewicht
m;167;38;77;keinSport;Uebergewicht
m;174;31;83;Kraftsport;Normalgewicht
m;164;52;72;keinSport;Normalgewicht
w;170;56;80;Ausdauersport;Normalgewicht
w;176;60;69;Kraftsport;Untergewicht
w;172;63;59;Kraftsport;Untergewicht
m;164;26;64;keinSport;Normalgewicht
w;159;60;74;keinSport;Uebergewicht
w;167;59;70;Ausdauersport;Normalgewicht
w;172;58;110;keinSport;Uebergewicht
w;160;53;77;keinSport;Uebergewicht
w;170;40;78;keinSport;Uebergewicht
w;170;60;84;keinSport;Uebergewicht
w;162;60;78;Ausdauersport;Normalgewicht
w;153;43;140;keinSport;Uebergewicht
m;185;40;109;keinSport;Uebergewicht
m;167;73;95;keinSport;Uebergewicht
m;186;52;60;Ausdauersport;Normalgewicht
m;184;45;120;keinSport;Uebergewicht
m;157;48;73;Kraftsport;Normalgewicht
w;156;51;150;keinSport;Uebergewicht
w;170;50;93;Kraftsport;Uebergewicht
m;188;38;165;keinSport;Uebergewicht
m;205;24;125;Ausdauersport;Normalgewicht
m;180;50;93;keinSport;Uebergewicht
m;168;60;79;Kraftsport;Normalgewicht
m;187;52;76;keinSport;Untergewicht
m;177;66;101;Kraftsport;Normalgewicht
w;161;24;140;keinSport;Uebergewicht
w;158;46;71;keinSport;Uebergewicht
m;182;59;104;keinSport;Uebergewicht
m;165;34;67;Kraftsport;Normalgewicht
m;167;74;76;keinSport;Normalgewicht
w;174;53;81;Kraftsport;Normalgewicht
w;164;28;70;keinSport;Uebergewicht
m;181;45;105;keinSport;Uebergewicht
m;181;63;92;Ausdauersport;Normalgewicht
w;159;58;63;keinSport;Normalgewicht
w;162;27;86;keinSport;Uebergewicht
m;173;31;91;Ausdauersport;Uebergewicht
m;155;30;76;keinSport;Uebergewicht
m;167;28;108;Kraftsport;Uebergewicht
w;173;55;134;keinSport;Uebergewicht
w;170;81;156;keinSport;Uebergewicht
m;164;59;130;Ausdauersport;Uebergewicht
w;163;42;62;Ausdauersport;Normalgewicht
m;169;73;74;Ausdauersport;Normalgewicht
m;171;31;86;Ausdauersport;Normalgewicht
w;170;22;66;keinSport;Normalgewicht
w;170;90;93;Kraftsport;Normalgewicht
w;158;49;89;keinSport;Uebergewicht
m;176;57;103;Kraftsport;Uebergewicht
w;158;55;62;Ausdauersport;Normalgewicht
w;167;69;61;Kraftsport;Untergewicht
m;166;99;65;keinSport;Untergewicht
m;168;67;128;keinSport;Uebergewicht
m;189;62;106;Ausdauersport;Normalgewicht
w;166;49;96;keinSport;Uebergewicht
w;163;50;121;keinSport;Uebergewicht
m;171;35;153;keinSport;Uebergewicht
m;177;66;126;keinSport;Uebergewicht
w;177;65;91;keinSport;Normalgewicht
m;175;38;117;keinSport;Uebergewicht
m;170;26;67;Kraftsport;Normalgewicht
m;179;34;122;keinSport;Uebergewicht
w;166;86;84;keinSport;Uebergewicht
w;174;72;109;keinSport;Uebergewicht
m;184;56;97;keinSport;Normalgewicht
w;172;55;87;keinSport;Uebergewicht
w;161;57;85;Kraftsport;Uebergewicht
w;168;52;135;Ausdauersport;Uebergewicht
m;181;43;70;keinSport;Untergewicht
w;158;33;77;Kraftsport;Normalgewicht
w;163;83;147;keinSport;Uebergewicht
m;174;53;105;Kraftsport;Uebergewicht
m;181;63;119;Ausdauersport;Uebergewicht
w;167;23;69;keinSport;Uebergewicht
w;177;28;82;keinSport;Uebergewicht
m;190;22;79;Ausdauersport;Normalgewicht
m;186;56;117;keinSport;Uebergewicht
m;172;44;73;keinSport;Normalgewicht
w;160;45;111;keinSport;Uebergewicht
w;157;62;88;keinSport;Uebergewicht
w;164;61;57;Ausdauersport;Normalgewicht
m;180;60;110;Kraftsport;Uebergewicht
w;160;67;64;Ausdauersport;Normalgewicht
m;183;65;68;Kraftsport;Untergewicht
w;170;34;71;Ausdauersport;Normalgewicht
w;172;21;149;keinSport;Uebergewicht
w;162;59;80;Ausdauersport;Uebergewicht
m;177;44;81;Ausdauersport;Normalgewicht
w;165;27;53;Ausdauersport;Normalgewicht
m;168;18;56;keinSport;Untergewicht
w;165;38;73;Kraftsport;Normalgewicht
m;168;31;90;Ausdauersport;Uebergewicht
w;165;60;82;keinSport;Uebergewicht
w;171;52;88;keinSport;Uebergewicht
m;168;75;86;keinSport;Uebergewicht
m;173;46;110;keinSport;Uebergewicht
m;169;81;71;keinSport;Untergewicht
w;172;23;69;keinSport;Normalgewicht
m;177;40;75;Kraftsport;Normalgewicht
m;177;48;169;keinSport;Uebergewicht
m;183;57;74;keinSport;Untergewicht
w;175;54;62;Ausdauersport;Untergewicht
w;160;54;61;Kraftsport;Normalgewicht
w;167;54;107;Ausdauersport;Uebergewicht
w;161;51;124;keinSport;Uebergewicht
m;191;32;100;keinSport;Uebergewicht
w;168;29;72;keinSport;Uebergewicht
m;177;61;109;Kraftsport;Uebergewicht
m;184;59;95;keinSport;Normalgewicht
m;171;41;90;Ausdauersport;Uebergewicht
m;179;46;125;Kraftsport;Uebergewicht
w;174;35;91;keinSport;Uebergewicht
m;174;51;111;keinSport;Uebergewicht
w;157;43;86;keinSport;Uebergewicht
w;159;46;141;keinSport;Uebergewicht
w;167;45;77;keinSport;Uebergewicht
w;167;28;104;keinSport;Uebergewicht
m;182;52;104;Ausdauersport;Uebergewicht
m;184;20;79;keinSport;Normalgewicht
m;182;51;112;Kraftsport;Uebergewicht
m;185;77;111;keinSport;Uebergewicht
m;169;24;143;Kraftsport;Uebergewicht
m;172;21;79;keinSport;Uebergewicht
m;181;66;80;Ausdauersport;Untergewicht
w;163;30;103;keinSport;Uebergewicht
w;168;52;67;keinSport;Normalgewicht
w;158;68;65;Kraftsport;Normalgewicht
m;173;54;94;Kraftsport;Uebergewicht
m;169;75;115;keinSport;Uebergewicht
m;179;67;108;keinSport;Uebergewicht
w;172;86;101;keinSport;Uebergewicht
m;175;45;152;keinSport;Uebergewicht
w;159;74;106;keinSport;Uebergewicht
m;184;82;87;keinSport;Normalgewicht
m;176;59;105;keinSport;Uebergewicht
w;171;69;102;keinSport;Uebergewicht
m;174;31;100;Kraftsport;Uebergewicht
m;164;39;93;keinSport;Uebergewicht
m;179;25;92;Ausdauersport;Normalgewicht
w;165;30;89;keinSport;Uebergewicht
m;177;22;90;keinSport;Uebergewicht
m;182;28;72;Kraftsport;Normalgewicht
w;169;65;73;Ausdauersport;Normalgewicht
w;159;42;146;keinSport;Uebergewicht
m;196;24;68;Ausdauersport;Normalgewicht
w;161;21;106;keinSport;Uebergewicht
w;157;53;66;Ausdauersport;Normalgewicht
w;162;44;74;keinSport;Uebergewicht
m;178;60;112;Kraftsport;Uebergewicht
w;168;23;55;keinSport;Normalgewicht
m;175;46;108;keinSport;Uebergewicht
m;173;58;97;keinSport;Uebergewicht
m;179;39;87;Kraftsport;Normalgewicht
w;166;82;58;keinSport;Untergewicht
w;162;62;68;Ausdauersport;Normalgewicht
m;178;36;68;keinSport;Untergewicht
w;171;35;85;Ausdauersport;Normalgewicht
m;180;56;130;keinSport;Uebergewicht
w;169;48;141;keinSport;Uebergewicht
m;177;51;102;keinSport;Uebergewicht
w;174;56;87;keinSport;Uebergewicht
m;178;84;93;keinSport;Normalgewicht
m;185;39;109;keinSport;Uebergewicht
m;178;21;65;Kraftsport;Normalgewicht
m;175;23;73;keinSport;Normalgewicht
m;159;42;66;Kraftsport;Normalgewicht
m;179;27;87;Ausdauersport;Normalgewicht
w;165;56;106;keinSport;Uebergewicht
m;162;52;98;Kraftsport;Uebergewicht
w;161;72;84;Kraftsport;Normalgewicht
w;164;33;71;Kraftsport;Normalgewicht
w;189;36;110;Ausdauersport;Uebergewicht
m;168;66;102;Kraftsport;Uebergewicht
w;160;54;85;keinSport;Uebergewicht
w;171;36;82;Ausdauersport;Normalgewicht
m;177;78;76;keinSport;Untergewicht
w;166;63;160;keinSport;Uebergewicht
m;178;39;100;Kraftsport;Uebergewicht
w;166;50;117;Kraftsport;Uebergewicht
m;169;82;63;Ausdauersport;Untergewicht
m;188;52;93;keinSport;Normalgewicht
m;167;77;100;Ausdauersport;Uebergewicht
m;185;28;90;Ausdauersport;Uebergewicht
w;162;44;93;keinSport;Uebergewicht
m;186;45;109;keinSport;Uebergewicht
m;182;45;107;keinSport;Uebergewicht
w;160;72;98;keinSport;Uebergewicht
m;170;21;84;keinSport;Uebergewicht
m;181;51;131;keinSport;Uebergewicht
m;173;57;76;Kraftsport;Normalgewicht
m;189;55;81;keinSport;Untergewicht
m;168;53;54;keinSport;Untergewicht
m;183;61;124;Kraftsport;Uebergewicht
m;170;62;138;Kraftsport;Uebergewicht
w;159;45;85;keinSport;Uebergewicht
w;164;46;127;keinSport;Uebergewicht
w;160;51;63;keinSport;Normalgewicht
m;171;21;95;keinSport;Uebergewicht
w;162;33;90;keinSport;Uebergewicht
w;158;23;96;Ausdauersport;Uebergewicht
w;178;55;115;keinSport;Uebergewicht
m;161;28;88;keinSport;Uebergewicht
w;179;72;97;Ausdauersport;Uebergewicht
w;167;56;95;keinSport;Uebergewicht
m;199;78;126;keinSport;Uebergewicht
w;157;38;85;Kraftsport;Uebergewicht
m;168;72;73;Ausdauersport;Normalgewicht
w;175;88;73;keinSport;Untergewicht
m;174;49;121;Ausdauersport;Uebergewicht
m;185;42;81;Kraftsport;Normalgewicht
m;172;54;99;keinSport;Uebergewicht
m;178;45;59;keinSport;Untergewicht
m;174;40;112;keinSport;Uebergewicht
w;167;71;119;Kraftsport;Uebergewicht
m;181;49;111;Kraftsport;Uebergewicht
w;170;26;136;keinSport;Uebergewicht
w;166;69;101;keinSport;Uebergewicht
w;157;36;55;Kraftsport;Normalgewicht
w;161;58;111;Kraftsport;Uebergewicht
m;167;32;85;Kraftsport;Uebergewicht
w;170;57;102;keinSport;Uebergewicht
m;165;22;80;keinSport;Uebergewicht
w;184;28;62;Ausdauersport;Untergewicht
m;173;54;106;keinSport;Uebergewicht
m;189;55;149;keinSport;Uebergewicht
m;181;79;105;keinSport;Uebergewicht
w;155;56;89;Kraftsport;Uebergewicht
m;180;19;68;keinSport;Normalgewicht
w;157;35;99;Kraftsport;Uebergewicht
m;182;68;159;keinSport;Uebergewicht
m;182;59;144;Kraftsport;Uebergewicht
w;161;61;94;keinSport;Uebergewicht
w;168;26;65;keinSport;Normalgewicht
w;172;60;153;Kraftsport;Uebergewicht
w;166;48;110;Ausdauersport;Uebergewicht
w;163;64;86;keinSport;Uebergewicht
m;200;76;71;keinSport;Untergewicht
w;166;39;86;keinSport;Uebergewicht
m;181;46;81;keinSport;Normalgewicht
w;162;24;81;Kraftsport;Normalgewicht
m;168;46;154;Kraftsport;Uebergewicht
w;184;48;86;Kraftsport;Normalgewicht
w;169;31;95;keinSport;Uebergewicht
w;171;29;53;keinSport;Untergewicht
m;176;44;81;keinSport;Normalgewicht
m;189;29;124;keinSport;Uebergewicht
m;182;83;89;keinSport;Normalgewicht
w;162;52;152;Kraftsport;Uebergewicht
m;176;58;106;keinSport;Uebergewicht
m;166;65;85;Ausdauersport;Uebergewicht
w;160;18;59;Ausdauersport;Normalgewicht
m;175;78;127;Ausdauersport;Uebergewicht
w;182;46;75;keinSport;Normalgewicht
m;182;67;112;keinSport;Uebergewicht
w;167;22;96;Ausdauersport;Uebergewicht
w;170;31;116;keinSport;Uebergewicht
m;182;44;114;Ausdauersport;Uebergewicht
m;174;69;149;keinSport;Uebergewicht
m;170;76;131;Ausdauersport;Uebergewicht
m;170;49;78;Ausdauersport;Normalgewicht
m;164;24;86;keinSport;Uebergewicht
w;189;38;84;keinSport;Normalgewicht
m;189;39;164;Kraftsport;Uebergewicht
m;180;33;67;keinSport;Untergewicht
m;167;75;129;keinSport;Uebergewicht
w;179;61;82;Kraftsport;Normalgewicht
w;166;38;105;Kraftsport;Uebergewicht
w;175;49;79;Ausdauersport;Normalgewicht
w;158;37;90;keinSport;Uebergewicht
m;172;58;50;Ausdauersport;Untergewicht
m;160;38;58;Kraftsport;Normalgewicht
m;166;56;110;keinSport;Uebergewicht
w;170;54;65;Ausdauersport;Normalgewicht
m;175;54;106;keinSport;Uebergewicht
w;164;56;57;Ausdauersport;Normalgewicht
m;185;33;70;keinSport;Untergewicht
m;183;51;74;keinSport;Untergewicht
w;168;50;93;keinSport;Uebergewicht
m;170;45;72;keinSport;Normalgewicht
w;167;40;82;Kraftsport;Normalgewicht
m;169;47;104;keinSport;Uebergewicht
m;176;32;87;Kraftsport;Normalgewicht
w;176;38;109;Kraftsport;Uebergewicht
w;167;28;140;Kraftsport;Uebergewicht
w;174;58;85;keinSport;Uebergewicht
m;183;31;64;keinSport;Untergewicht
w;162;33;115;Ausdauersport;Uebergewicht
m;178;52;129;Kraftsport;Uebergewicht
w;174;84;104;keinSport;Uebergewicht
m;172;46;90;Ausdauersport;Uebergewicht
m;185;51;109;Ausdauersport;Uebergewicht
m;169;53;64;keinSport;Untergewicht
w;165;31;125;keinSport;Uebergewicht
w;163;60;83;Kraftsport;Uebergewicht
w;167;59;63;keinSport;Untergewicht
m;182;47;68;keinSport;Untergewicht
w;172;60;77;Ausdauersport;Normalgewicht
m;180;43;119;Kraftsport;Uebergewicht
m;169;57;75;Ausdauersport;Normalgewicht
w;156;38;67;keinSport;Uebergewicht
m;185;37;83;Kraftsport;Normalgewicht
m;181;39;98;keinSport;Uebergewicht
m;183;46;97;Ausdauersport;Normalgewicht
m;179;66;87;keinSport;Normalgewicht
m;169;21;88;keinSport;Uebergewicht
m;157;57;117;Kraftsport;Uebergewicht
m;163;66;100;Kraftsport;Uebergewicht
m;188;33;89;keinSport;Normalgewicht
m;159;35;139;keinSport;Uebergewicht
w;172;54;66;keinSport;Normalgewicht
m;179;49;98;keinSport;Uebergewicht
m;201;67;124;Ausdauersport;Uebergewicht
m;168;62;88;keinSport;Uebergewicht
m;165;23;135;keinSport;Uebergewicht
w;178;56;105;keinSport;Uebergewicht
m;167;44;60;keinSport;Untergewicht
m;182;55;107;keinSport;Uebergewicht
w;157;42;134;Kraftsport;Uebergewicht
w;165;21;55;keinSport;Normalgewicht
m;175;45;154;Kraftsport;Uebergewicht
w;164;75;58;keinSport;Untergewicht
w;169;52;105;keinSport;Uebergewicht
m;163;46;77;keinSport;Uebergewicht
w;169;25;79;keinSport;Uebergewicht
m;169;32;60;keinSport;Normalgewicht
m;167;58;64;keinSport;Untergewicht
m;155;56;95;Kraftsport;Uebergewicht
w;166;52;67;Kraftsport;Normalgewicht
w;156;30;76;keinSport;Uebergewicht
w;164;53;79;keinSport;Uebergewicht
m;175;51;63;keinSport;Untergewicht
w;167;45;89;keinSport;Uebergewicht
w;168;19;78;Ausdauersport;Normalgewicht
m;177;62;79;keinSport;Normalgewicht
w;159;52;58;Ausdauersport;Normalgewicht
w;166;65;103;Ausdauersport;Uebergewicht
w;171;73;95;keinSport;Uebergewicht
m;172;49;85;keinSport;Uebergewicht
w;169;30;72;keinSport;Uebergewicht
w;160;57;101;keinSport;Uebergewicht
w;164;61;58;Kraftsport;Untergewicht
m;169;31;52;keinSport;Untergewicht
m;181;43;123;keinSport;Uebergewicht
w;163;47;85;keinSport;Uebergewicht
m;169;55;81;keinSport;Normalgewicht
w;164;21;73;Ausdauersport;Normalgewicht
m;168;56;79;Ausdauersport;Normalgewicht
m;182;24;86;Ausdauersport;Normalgewicht
w;164;33;50;keinSport;Untergewicht
m;166;26;52;keinSport;Untergewicht
m;176;54;77;keinSport;Normalgewicht
m;174;21;64;Ausdauersport;Normalgewicht
